,Problem_Slug,Description,Plag_Slug_Percentage
204,4g8rbo,"Jack is trying to learn Angular, He wrote a program below in angular, and shows this to his friends but he cant recall why did he use "" $routeProvider "" in this program ? Help him and choose the appropriate reason why did he use it in his program.app.config(function($routeProvider) {
$routeProvider
.when(""/"", {
templateUrl : ""main.htm""
})
.when(""/red"", {
templateUrl : ""red.htm""
})
.when(""/green"", {
templateUrl : ""green.htm""
})
.when(""/blue"", {
templateUrl : ""blue.htm""
});
});
$routeProvider is used to configure different routes in your application","[['4g8rbo', 79.46]]"
205,vbgddp,"Rick is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him the following code is an example of which application in routing?import { Injectable }from '@angular/core';
import { Observable }from 'rxjs';
import { CanDeactivate,
ActivatedRouteSnapshot,
RouterStateSnapshot }from '@angular/router';

import { MyComponent} from './my-component/my-component.component';

@Injectable()
export class CanDeactivateGuard implements CanDeactivateMyComponent {

canDeactivate(
component: MyComponent,
route: ActivatedRouteSnapshot,
state: RouterStateSnapshot
): Observableboolean | boolean {
 
if (expression === true) {
return true;
}

return component.dialogService.confirm('Discard changes?');
}
}
To Cancel Router Navigation","[['3g1ow9', 85.91], ['vbgddp', 81.95], ['lq1m44', 81.41], ['ao69og', 79.43], ['pogxor', 72.33]]"
206,3g1oo9,"Jack is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him which of the options is the correct application for the following code:- import { NgModule } from '@angular/core';
import { CommonModule } from '@angular/common';
import { Routes, RouterModule } from '@angular/router';
export const ROUTES: Routes = [];
@NgModule({
imports: [CommonModule, RouterModule.for child(ROUTES)],
// ...
})
export class ChildModule {}
RouterModule.forChild","[['3g1oo9', 90.77], ['4g8rro', 78.16], ['xqm4o1', 66.65], ['gb6xxp', 65.41]]"
207,4g8rro,"Rick is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him the following code is an example of which application in angular?// ...import { Routes, RouterModule } from '@angular/router';
export const ROUTES: Routes = [];
@NgModule({
imports: [BrowserModule, RouterModule.forRoot(ROUTES)],
// ...
})
export class AppModule {}
 RouterModule.forRoot","[['4g8rro', 91.92], ['3g1oo9', 75.37], ['xqm4o1', 69.21], ['gb6xxp', 68.15]]"
208,ao6ppx,"Rick is trying to learn angular but he got stuck on this question What is the difference between RouterModule.forRoot() and RouterModule.forChild()?RouterModule.forRoot(ROUTES): forRoot creates a module that contains all the directives, the given routes, and the router service itself.RouterModule.forChild(ROUTES): forChild creates a module that contains all the directives and the given routes, but does not include the router service.",[]
209,d0844m,"Jack is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him solution for this question Find The number of Errors in the following code:-In the following code how will you pass the parameter to  route:var app = angular.module(""myApp"", [""ngRoute""]);
app.config(function($routeProvider) {
$routeProvider
.when(""/"", {
templateUrl : ""main.htm""
})
.when(""/london"", {
templateUrl : ""london.htm""
})
.when(""/paris"", {
templateUrl : ""paris.htm""
});
});
None of these","[['d0844m', 89.19], ['gb6gb4', 76.23]]"
210,pogrrp,"In the following program:-const appRoutes : Routes = [
{ path : ‘users’, component: UserComponent,
children:[
​{path:’id’, component: UserComponent },
​{path:’id/update’, component: UpdateUserComponent}
]}
] 
What is the correct method to get a reference for a child? choose the correct optionAll of the Above","[['pogrrp', 87.83]]"
211,1q699b,"Rick is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him What type of Example this code signifies?   import { Component } from '@angular/core';
@Component({
selector: 'app-messagecontainer',
template: `
div
h3{{greetMessage}}/h3
ng-content select=""app-message""/ng-content
/div
`
})
export class MessageContainerComponent {
greetMessage = 'Ignite UI Rocks!';
}
MessageContainerComponent","[['1q699b', 89.5]]"
212,gb6xxp,"Sam is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him. Which one of the following is the correct way to add child routes?const appRoutes : Routes = [
{ path : ‘users’, component: UserComponent,
children:[
​{path:’id’, component: UserComponent },
​{path:’id/update’, component: UpdateUserComponent}

]}

]
","[['gb6xxp', 78.04], ['1q693q', 69.94], ['3g1o3e', 69.6], ['8y41xn', 66.55], ['yybrm9', 65.78], ['8y41n3', 65.0]]"
213,5ywqqb,"Rick is trying to learn angular but he got stuck on this question that, he wants to retrieve query param and fragment from URL? how can he do it in the right way?choose the right answer.Both 1 and 2","[['5ywqqb', 97.22]]"
214,q6gqql,"Kat is trying to learn Angular frameworks and she is stuck with a problem, after looking at the book and even using the Internet she can't understand the problem, she approaches you to help her and tell her the solution to the following question.After evaluating the following code:-a [routerLink]=”[‘/somepath,5,’update’]”
[queryParams]=”{allowUpdate: ‘/’}”
[fragment]=”loading”]/a
What will the URL for this program code look like?localhost:4200/somepath/5/update/allowUpdate=1#loading
","[['q6gqql', 96.07]]"
215,rld55n,"In the following code, how will the value assigned to the variable be decided? import { Router, ActivatedRoute, ParamMap } from '@angular/router';onstructor(
private route: ActivatedRoute,
) {} ngOnInit() {
this.route.queryParams.subscribe(params = {
this.name = params['name'];
});
}
The value will be based on the name parameter.","[['rld55n', 80.07]]"
216,lq1ml4,"You have built an angular service that is used to call back end API, the below code is called whenever you need tocatch any Error that occurred :private handleError(err: ________): Observablenever {
let errorMessage = '';
if (err.error instanceof ErrorEvent) {
errorMessage = `An error occurred: ${err.error.message}`;
} else {
errorMessage = `Server returned code: ${err.status}, error message is: ${err.message}`;
}
console.error(errorMessage);
return throwError(errorMessage);
} 
 Fill the required blanks from the following options?HttpErrorResponse
","[['lq1ml4', 91.35], ['xqm451', 77.76]]"
217,eew66m,"Ajack is learning Angular, in the following code, he can't understand why there are two asterisks ' ** ' in the last route pathchoose the appropriate explanation for it and help him understand this.const routes: Routes = [
{ path: 'first-component', component: FirstComponent },
{ path: 'second-component', component: SecondComponent },
{ path: '**', component: PageNotFoundComponent },];
The last route with the path of ** is a wildcard route. The router selects this route if the requested URL doesnt match any of the paths earlier in the list.","[['eew66m', 82.15]]"
218,mqg99q,"Tonyis a computer nerd he always likes to code in angular so today he wants to see which types offiles will be generated by creating a new contact-card component in his g. Which command should he use to get the desired result?ng generate component contact-card –dry-run
","[['mqg99q', 92.34]]"
219,n1meeq,"Sam is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approach you to help him and tell him With the following component class, what template syntax would you use in the template to display the value of the title class field?@Component({selector: ‘app-title-card’,template: ”})
class TitleCardComponent {title = ‘User Data’;}
{{ title }}
","[['n1meeq', 98.83]]"
220,bnvddv," Help Rohit find which one of the following is the right way toaccess the route path and parameters.@Component({...})
class MyComponent {
constructor(route: ActivatedRoute) {
const id: Observablestring = route.params.pipe(map(p = p.id));
const url: Observablestring = route.url.pipe(map(segments = segments.join('')));

const user = route.data.pipe(map(d = d.user));
}
}
",[]
221,8y41n3,"Sam is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him Whichof the following options tells what the resolve property works inroute configuration?{
path: ':id',
component: UserComponent,
resolve: {
user: UserResolverService
}
}
Prior to loading the UserComponent, the router will subscribe to the Observable returned by a resolve method in the UserResolverService. This technique can be used to get preloaded data for a route","[['8y41n3', 81.24], ['gb6xxp', 69.43], ['1q693q', 69.33], ['8y41xn', 67.69], ['lq1man', 65.73], ['3g1o3e', 65.56], ['8y4epa', 65.01]]"
222,6y95w5,"You have a product service method where you need to call the back end api for a particular input paramter as shown in below code : getProducts(): ObservableIProduct[] {
getProduct(id: number): ObservableIProduct | undefined {
return this.getProducts()
.pipe(
map((products: IProduct[]) = products.find(p = p.productId === id)),
_____('Handle any Error Occured')
);
}
Fill the blank space which serves the purpose of listening to the error channel and ignoring notifications?catcherror
","[['6y95w5', 88.55], ['oq30ww', 71.62]]"
223,oq30ww,"You have a product service method where you need to call the back end api for a particular input paramter as shown in below code : getProducts(): ObservableIProduct[] {
getProduct(id: number): ObservableIProduct | undefined {
return this.getProducts()
.pipe(
____((products: IProduct[]) = products.find(p = p.productId === id))
);
}
Fill the blank space which serves the purpose of taking an observable source as input?map
","[['oq30ww', 89.02], ['6y95w5', 71.45]]"
224,yyb6g1,"You have a product service method where you need to call the back end api as shown in below code : getProducts(): ObservableIProduct[] {
return this.http.getIProduct[]('api/products/products.json')
.pipe(
tap(data = console.log('All: ', _______(data))),
catchError(this.handleError)
);
} 
Fill the blank space which serves the purpose of converting a JavaScript object into a string with a JSON string?JSON.stringify
","[['yyb6g1', 88.95], ['3g1ol9', 78.08], ['vbgdrp', 72.32], ['ao6pex', 69.38], ['4g8rxo', 68.39]]"
225,vbgdrp,"You have a product service method where you need to call the back end api as shown below code : getProducts(): ObservableIProduct[] {
return this.http.getIProduct[]('api/products/products.json')
.______(
tap(data = console.log('All: ', JSON.stringify(data))),
catchError(this.handleError)
);
} 
Fill the blank space which serves the purpose of combining multiple functions into a single function?pipe
","[['vbgdrp', 88.59], ['3g1ol9', 79.66], ['ao6pex', 72.09], ['yyb6g1', 71.88], ['4g8rxo', 69.16]]"
226,3g1ol9,"You have a product service method where you need to call the back end API as shown below code : getProducts(): ObservableIProduct[] {
return this.http.getIProduct[]('api/products/products.json')
.pipe(
______(data = console.log('All: ', JSON.stringify(data))),
catchError(this.handleError)
);
}
 Fill the blank space which serves the purpose of logging the value in the console?tap
","[['3g1ol9', 92.56], ['vbgdrp', 77.81], ['ao6pex', 76.56], ['yyb6g1', 74.34], ['4g8rxo', 73.59]]"
227,4g8rxo,"You have a product service method where you need to call the back end api as shown in below code : getProducts(): ObservableIProduct[] {
return this.http.getIProduct[]('api/products/products.json')
.pipe(
tap(data = console.log('All: ', JSON.stringify(data))),
catchError(this.handleError)
);
} 
The operator pipe and tap which the client use comes from which of the following options?import { pipe,tap } from ""rxjs/operators"";
","[['4g8rxo', 87.77], ['ao6pex', 73.7], ['3g1ol9', 66.87]]"
228,ao6pex,"You have a product service method where you need to call the back end API as shown below code : getProducts(): ObservableIProduct[] {
return this.http.getIProduct[]('api/products/products.json')
.pipe(
tap(data = console.log('All: ', JSON.stringify(data))),
catchError(this.handleError)
);
}
 The return type observable which the service returns come from which of the following options?import { Observable } from ""rxjs"";
","[['ao6pex', 90.96], ['4g8rxo', 74.0], ['3g1ol9', 68.62]]"
229,d084qm,"You have a requirement to get the state of the Route path requested, What is the return type that handles the below piece of Code :export class ProductDetailGuard implements CanActivate {
constructor(private router: Router) {}
canActivate(
route: ____________,
state: RouterStateSnapshot): Observableboolean | UrlTree | Promiseboolean | UrlTree | boolean | UrlTree {
// Some Code
}
return true;
} 
Fill the required blanks from the following options ?ActivatedRouteSnapshot
","[['d084qm', 89.85]]"
230,pogrbp,"Let's say if after checking the can activate guard service, you need to navigate to 'products' path, Here is the sample code sample : export class ProductDetailGuard implements CanActivate {
constructor(private router: Router) {}
canActivate(
route: ActivatedRouteSnapshot,
state: RouterStateSnapshot): Observableboolean | UrlTree | Promiseboolean | UrlTree | boolean | UrlTree {
const id = Number(route.paramMap.get('id'));
if (isNaN(id) || id  1) {
alert('Invalid product id');
_________________
return false;
}
return true;
} 
Fill the required blanks from the following options ?this.router.navigate(['/products']);
","[['pogrbp', 80.74]]"
231,1q69ab,"You are implementing a canactivate guard method which checks the id value from the route path : canActivate(
route: ActivatedRouteSnapshot,
state: RouterStateSnapshot): Observableboolean | UrlTree | Promiseboolean | UrlTree | boolean | UrlTree {
_____________________
if (isNaN(id) || id  1) {
alert('Invalid product id');
this.router.navigate(['/products']);
return false;
}
return true;
} 
Fill the required blanks from the following options?const id = Number(route.paramMap.get('id'));
","[['1q69ab', 75.82]]"
232,gb6x1p,"You are creating a Guard service to validate whether valid data is passed in the URL path or not with the following initial code sample : @Injectable({
providedIn: '____'
}) 
Do you have a requirement where the service created will be available in the whole application as a singleton with no need to add it to angular module declarations?root
","[['gb6x1p', 94.05]]"
233,5ywq8b,"You are creating a Guard service to validate whether valid data is passed in the URL path or not with the following initial code sample: @Injectable({
providedIn: 'root'
}) 
Which library does the Injectable define?@angular/core
","[['5ywq8b', 86.89]]"
234,q6gqnl,"Suppose you have Guard in place to validate the navigate, the guard in use is canActivate, and the service which is used to validate ProductDetailGuard: export class ProductDetailGuard implements _____ 
{
constructor(private router: Router) {}
} 
Kindly fill the blanks with appropriate values to meet the requirement?canActivate
","[['q6gqnl', 94.87]]"
235,rld5mn,"You need to validate the URL path of a particular component : imports: [
RouterModule.forChild([
{
path: 'products/:id',
___________: [ProductDetailGuard],
component: ProductDetailComponent
}
]) 
Which attribute should you mention to check if the route can be activated so that the ProductDetailGuard takes care of the validation part i.eIf the specific guard returns true, navigation continues.?canActivate
","[['rld5mn', 88.51]]"
236,0qrmdx,"You need to check a particular requirement while testing the Angular application whether the h1 tag of your HTML element contains some text value or not : it('should render title', () = {
const fixture = TestBed.createComponent(AppComponent);
fixture.detectChanges();
const compiled = fixture.nativeElement;
expect(compiled.querySelector('h1').textContent).________('Sample Text');
});
 choose the right option from the following?toContain
","[['0qrmdx', 85.56]]"
237,9depm5,"Suppose you are running tests on a non-browser platform that doesn't have a Document Object Model , As per the below code sample fill the required blank :it('should create the app', () = {
const fixture = TestBed.createComponent(AppComponent);
_______________________
expect(app).toBeTruthy();
});
const app = fixture.debugElement.componentInstance;
","[['9depm5', 80.78]]"
238,mqg9xq,"Suppose you are getting this error while running the Angular application: This test module uses the component AppComponentwhich is using a ""template URL"" or ""style URLs"", but they were never compiled, To correct the problem what will you do as per the below code sample, fill up the blanks :describe('AppComponent', () = {
beforeEach(async () = {
await TestBed.configureTestingModule({
declarations: [
AppComponent
],
}).______________();
});
compileComponents
","[['mqg9xq', 90.4]]"
239,bnvd0v,"There a file name app.component.spec.ts which helps angular to test it created components : the below code throws a compilation error : describe('AppComponent', () = {
beforeEach(async () = {
await TestBed.configureTestingModule({
declarations: [
AppComponent
],
}).compileComponents();
}); 
What are the declarations you might be missing?import { TestBed } from '@angular/core/testing';
import { AppComponent } from './app.component';
","[['bnvd0v', 68.99]]"
240,n1me8q,"Suppose you are testing an Angular Component where you need to define a method that produces the module environment for the class you want to test.Kindly complete the below code sample : describe('AppComponent', () = {
beforeEach(async () = {
await TestBed.___________({
declarations: [
AppComponent
],
}).compileComponents();
});
configureTestingModule
","[['n1me8q', 86.12]]"
241,xqm4g1,"You have a requirement to implement functionality in directives to highlight the specific color checked in checkbox : app.component.html : 
div
input type=""radio"" name=""colors"" (click)=""color='lightgreen'""Green
input type=""radio"" name=""colors"" (click)=""color='yellow'""Yellow
input type=""radio"" name=""colors"" (click)=""color='cyan'""Cyan
/div
p [appHighlight]=""color""Highlight me!/p
highlight.directive.ts : 
@Directive({
selector: '[appHighlight]'
})
export class HighlightDirective {
constructor(private el: ElementRef) { }
@Input() defaultColor = '';
@Input('appHighlight') highlightColor = '';
@HostListener('mouseenter') onMouseEnter() {
this.highlight(this.highlightColor || this.defaultColor || 'red');
}
@HostListener('mouseleave') onMouseLeave() {
________________
}
private highlight(color: string) {
this.el.nativeElement.style.backgroundColor = color;
}
}
Choose the appropriate options if the requirement is no show any color on mouse leave listener for the blanks spaces from the following ? this.highlight('');
","[['xqm4g1', 87.77], ['lq1mx4', 83.12], ['6y95x5', 81.8], ['8y41w3', 81.05], ['wpbaqx', 78.23]]"
242,8y41w3,"You have a requirement to implement functionality in directives to highlight the specific color checked in checkbox : app.component.html : 
div
input type=""radio"" name=""colors"" (click)=""color='lightgreen'""Green
input type=""radio"" name=""colors"" (click)=""color='yellow'""Yellow
input type=""radio"" name=""colors"" (click)=""color='cyan'""Cyan
/div
p [appHighlight]=""_________""Highlight me!/p
highlight.directive.ts : 
@Directive({
selector: '[appHighlight]'
})
export class HighlightDirective {
constructor(private el: ElementRef) { }
@Input() defaultColor = '';
@Input('appHighlight') highlightColor = '';
@HostListener('mouseenter') onMouseEnter() {
this.highlight(this.highlightColor || this.defaultColor || 'red');
}
@HostListener('mouseleave') onMouseLeave() {
this.highlight('');
}
private highlight(color: string) {
this.el.nativeElement.style.backgroundColor = color;
}
}
Choose the appropriate options to the correct paramter need to pass in directive method for the blanks spaces from the following ?color
","[['8y41w3', 87.18], ['lq1mx4', 83.28], ['6y95x5', 83.18], ['xqm4g1', 82.41], ['wpbaqx', 78.68]]"
243,6y95x5,"You have a requirement to implement functionality in directives to highlight the specific color checked in checkbox : app.component.html : 
div
input type=""radio"" name=""colors"" (click)=""color='lightgreen'""Green
input type=""radio"" name=""colors"" (click)=""color='yellow'""Yellow
input type=""radio"" name=""colors"" (click)=""color='cyan'""Cyan
/div
p _________ =""color""Highlight me!/p
highlight.directive.ts : 
@Directive({
selector: '[appHighlight]'
})
export class HighlightDirective {
constructor(private el: ElementRef) { }
@Input() defaultColor = '';
@Input('appHighlight') highlightColor = '';
@HostListener('mouseenter') onMouseEnter() {
this.highlight(this.highlightColor || this.defaultColor || 'red');
}
@HostListener('mouseleave') onMouseLeave() {
this.highlight('');
}
private highlight(color: string) {
this.el.nativeElement.style.backgroundColor = color;
}
}
Choose the appropriate options for the blanks spaces . how do you bind a custom directive from the following ?[appHighlight]
","[['6y95x5', 86.26], ['lq1mx4', 83.51], ['8y41w3', 82.73], ['xqm4g1', 82.41], ['wpbaqx', 79.21]]"
244,oq30bw,"You are building an angular component where you need to toggle Animations to open and closed a route.You have a requirement to allow to set the disabled property of the host element from the directive classapp.component.html : 
 input type=""checkbox""
id=""animation-toggle""
[checked]=""!animationsDisabled""
(click)=""toggleAnimations()""
label for=""animation-toggle""Toggle All Animations/label
nav
 a id=""toggle"" routerLink=""/toggle"" routerLinkActive=""active""Toggle Animations/a
/nav

div [@routeAnimations]=""prepareRoute(outlet)""
router-outlet #outlet=""outlet""/router-outlet
/div

app.component.ts :

@Component({
 //// selector
animations: [
slideInAnimation
// animation triggers go here
]
})
export class AppComponent {
_____________________
public animationsDisabled = false;

prepareRoute(outlet: RouterOutlet) {
return outlet?.activatedRouteData?.['animation'];
}

toggleAnimations() {
this.animationsDisabled = !this.animationsDisabled;
}
}
Choose the right option for the blank space from the following?@HostBinding('@.disabled')
","[['oq30bw', 91.06], ['4g8r6o', 87.02], ['3g1od9', 85.62], ['vbgdqp', 85.07], ['yyb611', 83.66]]"
245,yyb611,"You are building a angular component where you need to toggle Animations to open and closed a route app.component.html : 
 input type=""checkbox""
id=""animation-toggle""
[checked]=""!animationsDisabled""
(click)=""toggleAnimations()""
label for=""animation-toggle""Toggle All Animations/label

nav
 a id=""toggle"" routerLink=""/toggle"" routerLinkActive=""active""Toggle Animations/a
/nav

div [@routeAnimations]=""prepareRoute(outlet)""
router-outlet #outlet=""outlet""/router-outlet
/div

app.component.ts :

@Component({
 //// selector
animations: [
slideInAnimation
// animation triggers go here
]
})
export class AppComponent {
@HostBinding('@.disabled')
public animationsDisabled = false;
prepareRoute(outlet: RouterOutlet) {
return ______________;
}
toggleAnimations() {
this.animationsDisabled = !this.animationsDisabled;
}
}
Choose the right option for the blank space for which routing is defined in the template from the following?outlet?.activatedRouteData?.['animation']
","[['yyb611', 90.25], ['4g8r6o', 87.44], ['3g1od9', 87.24], ['vbgdqp', 86.47], ['oq30bw', 82.79]]"
246,vbgdqp,"You are building an angular component where you need to toggle Animations to open and closed a route app.component.html : 
 input type=""checkbox""
id=""animation-toggle""
[checked]=""!animationsDisabled""
(click)=""toggleAnimations()""
label for=""animation-toggle""Toggle All Animations/label

nav
 a id=""toggle"" routerLink=""/toggle"" routerLinkActive=""active""Toggle Animations/a
/nav

div [@routeAnimations]=
router-outlet #outlet=""outlet""/router-outlet
/div

app.component.ts :

@Component({
 //// selector
animations: [
slideInAnimation
// animation triggers go here
]
})
export class AppComponent {
@HostBinding('@.disabled')
public animationsDisabled = false;

prepareRoute(outlet: RouterOutlet) {
return outlet?.activatedRouteData?.['animation'];
}

toggleAnimations() {
this.animationsDisabled = !this.animationsDisabled;
}
}
Choose the right option for the blank space from the following?""prepareRoute(outlet)""
","[['3g1od9', 89.82], ['4g8r6o', 89.69], ['vbgdqp', 88.95], ['yyb611', 86.5], ['oq30bw', 84.24]]"
247,3g1od9,"You are building an angular component where you need to toggle Animations to open and closed a route app.component.html : 
 input type=""checkbox""
id=""animation-toggle""
[checked]=""!animationsDisabled""
(click)=""toggleAnimations()""
label for=""animation-toggle""Toggle All Animations/label
nav
 a id=""toggle"" routerLink=""/toggle"" routerLinkActive=""active""Toggle Animations/a
/nav
div __________=""prepareRoute(outlet)""
router-outlet #outlet=""outlet""/router-outlet
/div
app.component.ts :
@Component({
 //// selector
animations: [
slideInAnimation
// animation triggers go here
]
})
export class AppComponent {
@HostBinding('@.disabled')
public animationsDisabled = false;
prepareRoute(outlet: RouterOutlet) {
return outlet?.activatedRouteData?.['animation'];
}
toggleAnimations() {
this.animationsDisabled = !this.animationsDisabled;
}
}
Choose the right option for the blank space from the following?[@routeAnimations]
","[['3g1od9', 90.21], ['4g8r6o', 89.36], ['vbgdqp', 88.63], ['yyb611', 86.19], ['oq30bw', 83.93]]"
248,4g8r6o,"You are building an angular component where you need to toggle the type of slideInAnimation to open and closed a route app.component.html : 
 input type=""checkbox""
id=""animation-toggle""
[checked]=""!animationsDisabled""
(click)=""toggleAnimations()""
label for=""animation-toggle""Toggle All Animations/label
nav
 a id=""toggle"" routerLink=""/toggle"" routerLinkActive=""active""Toggle Animations/a
/nav
div [@routeAnimations]=""prepareRoute(outlet)""
router-outlet #outlet=""outlet""/router-outlet
/div
app.component.ts :
@Component({
 //// selector
animations: [
_____________
// animation triggers go here
]
})
export class AppComponent {
@HostBinding('@.disabled')
public animationsDisabled = false;

prepareRoute(outlet: RouterOutlet) {
return outlet?.activatedRouteData?.['animation'];
}

toggleAnimations() {
this.animationsDisabled = !this.animationsDisabled;
}
}
Choose the right option for the blank space from the following?slideInAnimation
","[['4g8r6o', 90.62], ['3g1od9', 88.12], ['vbgdqp', 87.3], ['yyb611', 85.25], ['oq30bw', 84.24]]"
249,d0843m,"You are building an angular component where you need to initialize a numeric progression of the input elementapp.component.html : 
 label
Enter an progress value
input type=""______"" min=""0"" max=""100""
[value]=""progress"" (input)=""setProgress($event)""
 /label
app.component.ts :
export class AppComponent{
progress = 0;
setProgress($event: Event) {
this.progress = +($event.target as HTMLInputElement).value;
}
}
Choose the right option for the blank space from the following?number
","[['d0843m', 88.05], ['pogrnp', 85.91], ['1q691b', 82.88], ['ao6p4x', 79.6]]"
250,1q691b,"You are building an angular component where you need to initialize a numeric progression of an input elementapp.component.html : 
 label
Enter an example progress value
input type=""number"" min=""0"" max=""100""
[value]=""progress"" (input)=""setProgress($event)""
 /label

app.component.ts :

export class AppComponent{
progress = 0;

setProgress($event: Event) {
this.progress = +(_____________).value;
}
}
Choose the right option for the blank space from the following?$event.target as HTMLInputElement
","[['pogrnp', 85.91], ['1q691b', 85.85], ['d0843m', 85.04], ['ao6p4x', 77.02]]"
251,gb6x4p,"You are building an angular component where you toggle the disable the property of the Button that is either true or false.app.component.html : 
 div
button id=""testButton""Test Button/button
/div
div
button (click)=""toggleDisabled()""Toggle disabled property for Test Button/button
/div
app.component.ts :
export class AppComponent {
toggleDisabled(): any {
const testButton = document.getElementById(
'testButton'
) as HTMLInputElement;
testButton.disabled = ___________;
console.warn(testButton.disabled);
}
}
Choose the right option from the following?!testButton.disabled
","[['gb6x4p', 89.24], ['5ywqlb', 77.9]]"
252,rld59n,"You are building an angular component where you manipulate a single DOM element from the DOM treeapp.component.html : 
input type=""text"" value=""Angular"" ______/label
div
button (click)=""getHTMLAttributeValue()""Get HTML attribute value/button
/div
app.component.ts :
export class AppComponent {
@ViewChild('bindingInput') bindingInput!: ElementRef;
getHTMLAttributeValue(): any {
console.log('HTML attribute value: ' + this.bindingInput.nativeElement.getAttribute('value'));
}
}
Choose the right option from the following?#bindingInput
","[['rld59n', 87.99], ['q6gqml', 83.55]]"
253,n1mewq,"Change the follow code such that the associated function is trigged when the mouse hovers over the element.import { Directive, HostBinding, ElementRef, HostListener } from '@angular/core';
@Directive({
selector: '[appCssToggle]'
})
export class CssToggleDirective {
@HostBinding('class.bg-warning') isBgWarning = false;

constructor(private elRef: ElementRef) { }

@HostListener('click', ['$event']) toggleOpen(event: Event) {
this.isBgWarning = !this.isBgWarning;
}
}
Change @HostListener('click', ['$event']) toggleOpen(event: Event) {
this.isBgWarning = !this.isBgWarning;
}
}
to
@HostListener('mouseover', ['$event']) toggleOpen(event: Event) {
this.isBgWarning = !this.isBgWarning;
}
}
","[['n1mewq', 81.0], ['yyb6xo', 67.57]]"
254,mqg98q,"Olivia is an angular developer working on directives. She wants to add some CSS classes to the component using the method. What would be her best choice among the following?currentClasses: Recordstring, boolean = {};
{/* . . . */}
setCurrentClasses() {
this.currentClasses ={
saveable: this.canSave,
modified: !this.isUnchanged,
special:this.isSpecial
};
}
",[]
255,wpba5x,"Which of the following code doesn't contain any error?import { Component } from '@angular/core';
 
@Component({
selector: 'my-app',
templateUrl: './app.component.html',
styleUrls: ['./app.component.css']
})
export class AppComponent {
color = 'pink';
size = 16;
displayText = 'show-class';
visible = true;
constructor() { }
 
toggle() {
this.visible = !this.visible;
this.displayText = this.visible ? 'show-class' : 'hide-class';
}
}
",[]
256,8y41b3,"Using ngstyle Sophia wants to set the color of the text to blue and the size to 24 pixels. Choose from the following what would be the correct syntax for that?div [ngStyle]=""{'color': 'blue', 'font-size': '24px'}""
DONE
/div
","[['8y41b3', 88.78]]"
257,xqm4l1,"Read the following code and suggest changes that should be done so that there is a 50% of getting random Offline or Online/import {Component} from '@angular/core';
@Component(
{selector: 'app-server',
templateUrl: 'server.component.html'})
export class ServerComponent {
serverID: number = 10;
serverStatus: string = 'Offline';

constructor () {
this.serverStatus = Math.random()  0.8 ? 'Online' : 'Offline';
}
 getServerStatus() {
return this.serverStatus;
}
}
import {Component} from '@angular/core';
Component(
{selector: 'app-server',
templateUrl: 'server.component.html'})
export class ServerComponent {
serverID: number = 10;
serverStatus: string = 'Offline';
constructor () {
this.serverStatus = Math.random()  0.8 ? 'Online' : 'Offline';
}
getServerStatus() {
return this.serverStatus;
}
}
","[['xqm4l1', 79.4], ['9deprp', 67.96], ['0qrm8e', 67.47]]"
258,lq1mn4,"@Component({
selector: 'example-app',
template: `
input [(ngModel)]=""name"" #ctrl=""ngModel"" required
Value: {{ name }}
Valid: {{ ctrl.valid }}
button (click)=""setValue()""Set value/button
})
export class SimpleNgModelComp {
name: string = '';
setValue() { this.name = 'Nancy'; }
}
In the above example what would be the import statement of the above code?import {Component} from '@angular/core';
","[['lq1mn4', 75.63]]"
259,bnvd4v,"import { Directive, ElementRef, HostListener} from '@angular/core';
@Directive({
selector: '[appCollapse]'
})
export class CollapseDirective {
isShow = true;

constructor(private elRef: ElementRef, private renderer: Renderer2) { }
@HostListener('click', ['$event']) toggleOpen() {
const nextEl = this.renderer.nextSibling(this.elRef.nativeElement);
this.isShow = !this.isShow;
if (this.isShow) {
this.renderer.addClass(nextEl, 'show');
} else {
this.renderer.removeClass(nextEl, 'show');
}
}
}
Read the following code and choose from the following which thing is required to get imported?Renderer2
","[['bnvd4v', 82.69], ['0qrlr8', 66.33]]"
260,6y9585,"Read the two almost identical codes snippet and verify whether they are the same or not? input class=""form-control"" type=""text"" name=""designation"" [ngModel]=""currentProduct.name"" 
input class=""form-control"" type=""text"" name=""designation"" [(ngModel)]=""currentProduct.name"" 
They are Same","[['6y9585', 96.18]]"
